date,section,exports,imports
2000-01-01,overall,25431356829.0,20823323043.0
2000-02-01,overall,27283174258.0,22067338380.0
2000-03-01,overall,31988645788.0,24984873231.0
2000-04-01,overall,28902713733.0,25500475032.0
2000-05-01,overall,30269492381.0,26032155365.0
2000-06-01,overall,31762585998.0,26992274608.0
2000-07-01,overall,32704770280.0,28657527281.0
2000-08-01,overall,34007709517.0,29089502799.0
2000-09-01,overall,34941150362.0,28742466416.0
2000-10-01,overall,32971839574.0,27281317008.0
2000-11-01,overall,32778559823.0,26765489297.0
2000-12-01,overall,30228316955.0,24522125807.0
2001-01-01,overall,28054917092.0,25014292247.0
2001-02-01,overall,28434980985.0,22202158380.0
2001-03-01,overall,29585276901.0,25426231891.0
2001-04-01,overall,27333623326.0,22863418850.0
2001-05-01,overall,28030322908.0,23219540745.0
2001-06-01,overall,27416637806.0,24191012370.0
2001-07-01,overall,26923582116.0,22568164442.0
2001-08-01,overall,27665106965.0,22201261374.0
2001-09-01,overall,27532841779.0,22236474758.0
2001-10-01,overall,28708859071.0,24373243340.0
2001-11-01,overall,28329918367.0,24352770731.0
2001-12-01,overall,26267747322.0,21580523897.0
2002-01-01,overall,27316928138.0,23032946501.0
2002-02-01,overall,24012915306.0,20364232876.0
2002-03-01,overall,30576213580.0,25581215994.0
2002-04-01,overall,28983013933.0,26948791099.0
2002-05-01,overall,28995522832.0,25368194525.0
2002-06-01,overall,29105760441.0,24841759927.0
2002-07-01,overall,30946934681.0,26869778749.0
2002-08-01,overall,31509652096.0,26830891766.0
2002-09-01,overall,31196582867.0,26416151108.0
2002-10-01,overall,33023867947.0,26994854552.0
2002-11-01,overall,32075412101.0,25606045802.0
2002-12-01,overall,29687213053.0,24235602593.0
2003-01-01,overall,31622061328.0,24541827701.0
2003-02-01,overall,27006772637.0,21284135134.0
2003-03-01,overall,33107681531.0,25834140270.0
2003-04-01,overall,32155266872.0,25463889805.0
2003-05-01,overall,31952415059.0,24973417969.0
2003-06-01,overall,32391394845.0,24911579076.0
2003-07-01,overall,32997985742.0,27596949473.0
2003-08-01,overall,33461772492.0,25519297789.0
2003-09-01,overall,34059586361.0,27317682752.0
2003-10-01,overall,37106151914.0,30368985271.0
2003-11-01,overall,33256041420.0,26602971794.0
2003-12-01,overall,38767261027.0,32122976140.0
2004-01-01,overall,35316065206.0,28518240804.0
2004-02-01,overall,32432734860.0,26382054409.0
2004-03-01,overall,40238448602.0,33323302835.0
2004-04-01,overall,39876514956.0,33525332913.0
2004-05-01,overall,38630957600.0,31589334324.0
2004-06-01,overall,39877834310.0,34645553686.0
2004-07-01,overall,42435331205.0,34929971772.0
2004-08-01,overall,41529135846.0,33329564410.0
2004-09-01,overall,44450311537.0,37635523962.0
2004-10-01,overall,44128365943.0,36031193994.0
2004-11-01,overall,38741533723.0,32769530878.0
2004-12-01,overall,43595758641.0,36952566941.0
2005-01-01,overall,39205808930.0,31245787987.0
2005-02-01,overall,36824804960.0,29459812858.0
2005-03-01,overall,46987097029.0,36538367802.0
2005-04-01,overall,43797531125.0,34996874420.0
2005-05-01,overall,42915869585.0,35960427961.0
2005-06-01,overall,44749721803.0,36731166921.0
2005-07-01,overall,43784289554.0,37599442074.0
2005-08-01,overall,46746312908.0,36654458072.0
2005-09-01,overall,48016870418.0,39967688863.0
2005-10-01,overall,49748242713.0,39129358191.0
2005-11-01,overall,43711720972.0,34610917341.0
2005-12-01,overall,49745390585.0,39976495173.0
2006-01-01,overall,43199834655.0,34170419111.0
2006-02-01,overall,42409082571.0,34732835413.0
2006-03-01,overall,51429024693.0,41522379826.0
2006-04-01,overall,45900138502.0,38715697672.0
2006-05-01,overall,48243868633.0,39922705561.0
2006-06-01,overall,49157212456.0,40629381278.0
2006-07-01,overall,50558415878.0,41131605572.0
2006-08-01,overall,53409587314.0,43088296816.0
2006-09-01,overall,53120776711.0,42540097169.0
2006-10-01,overall,48039233962.0,38296930412.0
